logo,hospital,url,location,typ1,ttyp2,class,employees,founding_date
https://img1.dxycdn.com/2022/0221/852/2665930812825153353-126.png,鞍钢集团公司总医院,https://y.dxy.cn/hospital/788,辽宁·鞍山市,公立医院,综合医院,三级甲等,1000 人以上,1937 年
https://img1.dxycdn.com/2020/0430/209/3410668845168871319-2.png,安徽济民肿瘤医院,https://y.dxy.cn/hospital/3029,安徽·,民营医院,专科医院,三级丙等,100-499 人,2003 年
https://img1.dxycdn.com/2020/0422/653/3409232092709079105-126.png,安徽省第二人民医院,https://y.dxy.cn/hospital/110,安徽·合肥市,公立医院,综合医院,三级甲等,1000 人以上,1951 年
https://img1.dxycdn.com/2018/1225/786/3319367272203996816-7.png,安徽省儿童医院,https://y.dxy.cn/hospital/386,安徽·合肥市,民营医院,专科医院,-,100-499 人,1990 年
https://img1.dxycdn.com/2020/1210/166/8806613756790222543-126.png,安徽省庐江县中医院,https://y.dxy.cn/hospital/12498,安徽·合肥市,公立医院,综合医院,三级医院,500-999 人,1983 年
https://img1.dxycdn.com/2022/0303/776/4776048395366835353-126.png,安徽省胸科医院,https://y.dxy.cn/hospital/2668,安徽·合肥市,公立医院,专科医院,三级医院,1000 人以上,1982 年
https://file1.dxycdn.com/2018/0418/713/3272815292061526154-7.png,安徽医科大学第二附属医院,https://y.dxy.cn/hospital/754,安徽·合肥市,公立医院,综合医院,三级甲等,1000 人以上,2008 年
https://img1.dxycdn.com/2020/1208/533/8974356415961091543-126.png,安徽医科大学第一附属医院,https://y.dxy.cn/hospital/80,安徽·合肥市,公立医院,综合医院,三级甲等,1000 人以上,1926 年
https://img1.dxycdn.com/2020/0525/031/3415305459933177536-126.png,安徽医科大学附属阜阳医院,https://y.dxy.cn/hospital/1952,安徽·阜阳市,公立医院,综合医院,三级医院,500-999 人,2013 年
https://img1.dxycdn.com/2022/0824/419/5751823108048167653-126.png,安徽中科庚玖医院,https://y.dxy.cn/hospital/12741,安徽·合肥市,民营医院,综合医院,三级医院,500-999 人,2021 年
https://img1.dxycdn.com/2021/0126/785/4777393462418590643-7.jpg,安吉县中医院,https://y.dxy.cn/hospital/5406,浙江·湖州市,公立医院,专科医院,-,100-499 人,-
https://img1.dxycdn.com/2020/1229/798/6136927546668375543-126.png,安陆市普爱医院,https://y.dxy.cn/hospital/6964,湖北·孝感市,公立医院,综合医院,二级甲等,500-999 人,1886 年
https://img1.dxycdn.com/2020/0507/364/3411962807145785673-126.png,安庆市立医院,https://y.dxy.cn/hospital/1787,安徽·安庆市,公立医院,综合医院,三级甲等,1000 人以上,1938 年
https://img1.dxycdn.com/2019/0926/890/3370406732961812552-7.jpg,鞍山瑞天肾病医院,https://y.dxy.cn/hospital/10579,辽宁·鞍山市,民营医院,综合医院,二级医院,20-99 人,2017 年
https://img1.dxycdn.com/2020/0430/209/3410668845168871319-2.png,安阳地区医院,https://y.dxy.cn/hospital/1530,河南·安阳市,公立医院,综合医院,三级甲等,1000 人以上,1949 年
https://img1.dxycdn.com/2021/0304/833/0636086155868977643-126.png,安阳市滑县中心医院,https://y.dxy.cn/hospital/7322,河南·安阳市,公立医院,综合医院,二级甲等,500-999 人,1983 年
https://img1.dxycdn.com/2021/0308/018/6733877490456068643-126.png,安阳市中医院,https://y.dxy.cn/hospital/1426,河南·安阳市,公立医院,综合医院,三级甲等,1000 人以上,1954 年
https://img1.dxycdn.com/2021/0414/707/1474442389142745743-126.png,百尺竿镇普利庄村卫生所,https://y.dxy.cn/hospital/12636,河北·保定市,民营医院,其他,未定级,20 人以下,2001 年
https://img1.dxycdn.com/2020/1218/800/0431454691020073543-126.png,保定德润医院,https://y.dxy.cn/hospital/12522,河北·保定市,民营医院,综合医院,二级医院,100-499 人,2003 年
https://img1.dxycdn.com/2020/0430/209/3410668845168871319-2.png,保定市脑血管病医院,https://y.dxy.cn/hospital/2831,北京·,民营医院,专科医院,一级丙等,100-499 人,1983 年
https://img1.dxycdn.com/2020/0707/330/4969126919365233243-126.png,保定泰和康复医院,https://y.dxy.cn/hospital/12424,河北·保定市,民营医院,专科医院,二级医院,100-499 人,2010 年
https://img1.dxycdn.com/2021/0105/587/0002775601781907543-126.png,保定裕东医院,https://y.dxy.cn/hospital/9512,河北·保定市,民营医院,综合医院,二级医院,100-499 人,1991 年
https://img1.dxycdn.com/2021/0201/904/8473883832645112643-126.png,宝鸡高新医院,https://y.dxy.cn/hospital/12559,陕西·宝鸡市,民营医院,综合医院,三级医院,1000 人以上,2012 年
https://img1.dxycdn.com/2020/1126/694/4503890246783269443-126.png,宝鸡市人民医院,https://y.dxy.cn/hospital/204,陕西·宝鸡市,公立医院,综合医院,三级甲等,1000 人以上,1947 年
https://img1.dxycdn.com/2020/0226/983/3398836493736223037-126.png,宝鸡市中心医院,https://y.dxy.cn/hospital/1554,陕西·宝鸡市,公立医院,综合医院,三级甲等,1000 人以上,1951 年
https://img1.dxycdn.com/2021/1026/054/9665944382129461153-126.png,宝鸡市中医医院,https://y.dxy.cn/hospital/599,陕西·宝鸡市,公立医院,综合医院,三级甲等,1000 人以上,1952 年
https://img1.dxycdn.com/2022/0530/131/8316526153572761553-7.jpg,宝泉岭医疗集团中心医院,https://y.dxy.cn/hospital/493,黑龙江·鹤岗市,公立医院,综合医院,三级甲等,-,-
https://img1.dxycdn.com/2020/0529/124/3416043275185048741-126.png,包头医学院第二附属医院,https://y.dxy.cn/hospital/2414,内蒙古·包头市,公立医院,综合医院,三级乙等,1000 人以上,1951 年
https://img1.dxycdn.com/2020/0710/199/6946560106085883243-126.png,包头云龙骨科医院,https://y.dxy.cn/hospital/7040,内蒙古·包头市,民营医院,专科医院,二级甲等,100-499 人,1988 年
https://img1.dxycdn.com/2021/0225/931/1560777154827456643-126.png,巴中市中心医院,https://y.dxy.cn/hospital/1177,四川·巴中市,公立医院,综合医院,三级甲等,1000 人以上,1943 年
https://file1.dxycdn.com/2018/0504/704/3275778153775765368-7.png,北大医疗康复医院,https://y.dxy.cn/hospital/3082,北京·北京,民营医院,专科医院,三级医院,100-499 人,2015 年
https://img1.dxycdn.com/2020/0302/952/3399721954931290840-126.jpg,北大医疗潞安医院,https://y.dxy.cn/hospital/3282,山西·长治市,民营医院,综合医院,三级甲等,1000 人以上,1959 年
https://file1.dxycdn.com/2018/0418/858/3272846666797335282-7.png,北大医疗鲁中医院,https://y.dxy.cn/hospital/351,山东·淄博市,民营医院,综合医院,三级甲等,1000 人以上,2002 年
https://file1.dxycdn.com/2018/0419/126/3273043664062318537-7.png,北海市人民医院,https://y.dxy.cn/hospital/208,广西·北海市,公立医院,综合医院,三级甲等,1000 人以上,1886 年
https://img1.dxycdn.com/2020/0227/679/3399032967015113109-126.jpg,北京爱尔英智眼科医院,https://y.dxy.cn/hospital/3285,北京·朝阳区,民营医院,专科医院,一级医院,100-499 人,1995 年
https://img1.dxycdn.com/2020/0527/389/3415679953164419953-126.png,北京爱育华妇儿医院,https://y.dxy.cn/hospital/12386,北京·大兴区,民营医院,专科医院,三级医院,100-499 人,2014 年
https://img1.dxycdn.com/2021/0308/893/2140510752914658643-126.png,北京安琪妇产医院,https://y.dxy.cn/hospital/321,北京·北京,民营医院,专科医院,二级医院,100-499 人,2013 年
https://img1.dxycdn.com/2020/0525/614/3415325167390626605-126.png,北京铂林眼科诊所,https://y.dxy.cn/hospital/12365,北京·海淀区,民营医院,专科医院,未定级,100-499 人,2017 年
https://img1.dxycdn.com/2021/0219/129/5610672839282445643-126.png,北京昌平北城中医医院,https://y.dxy.cn/hospital/12577,北京·昌平区,民营医院,综合医院,一级医院,20-99 人,1958 年
https://img1.dxycdn.com/2020/0304/021/3400126665404915705-126.png,北京昌平华佑医院,https://y.dxy.cn/hospital/3294,北京·昌平区,民营医院,专科医院,未定级,100-499 人,2018 年
https://img1.dxycdn.com/2020/0521/782/3414564850805277966-126.png,北京慈禄儿科门诊部,https://y.dxy.cn/hospital/12350,北京·丰台区,民营医院,专科医院,未定级,20-99 人,2017 年
https://img1.dxycdn.com/2021/0301/685/3856256830031037643-126.png,北京崔玉涛诊所,https://y.dxy.cn/hospital/6188,北京·朝阳区,民营医院,其他,未定级,20-99 人,2016 年
https://img1.dxycdn.com/2020/0430/209/3410668845168871319-2.png,北京大学滨海医院,https://y.dxy.cn/hospital/1666,天津·,公立医院,综合医院,三级甲等,1000 人以上,1949 年
https://file1.dxycdn.com/2018/0427/534/3274508116913705138-7.png,北京大学第一医院,https://y.dxy.cn/hospital/45,北京·北京,公立医院,综合医院,三级甲等,1000 人以上,1915 年
https://file1.dxycdn.com/2018/0504/287/3275778276182333668-7.png,北京大学国际医院,https://y.dxy.cn/hospital/263,北京·北京,民营医院,综合医院,三级医院,1000 人以上,2014 年
https://img1.dxycdn.com/2020/0226/139/3398792000022539978-126.jpg,北京大学人民医院,https://y.dxy.cn/hospital/4,北京·北京,公立医院,综合医院,三级甲等,1000 人以上,1918 年
https://img1.dxycdn.com/2020/0305/517/3400275000690207512-126.jpg,北京大学深圳医院,https://y.dxy.cn/hospital/174,广东·深圳市,公立医院,综合医院,三级甲等,1000 人以上,1999 年
https://img1.dxycdn.com/2021/0106/888/1397330956032427543-126.png,北京德尔康尼骨科医院,https://y.dxy.cn/hospital/7447,北京·北京,民营医院,专科医院,二级甲等,100-499 人,2002 年
