东城,西城,崇文,宣武,朝阳,丰台,石景山,海淀,门头沟,房山,通州,顺义,昌平,大兴,平谷,怀柔,密云,延庆
北京协和医院,北京大学第一医院,天坛社区卫生服务中,北京市清河农场医院,首都医科大学附属北,北京天坛医院,八大处医院,301医院,北京京煤集团总医院,房山第一医院,潞河医院,顺义区医院,北京大学国际医院,北京同仁医院南区,北京市平谷区医院,怀柔中医院,北京密云县医院,北京延庆县医院
http://z.xywy.com/yiyuan-pumch.htm,http://z.xywy.com/yiyuan-bddyyy.htm,http://z.xywy.com/yiyuan-ttsqwsfwzx.htm,http://z.xywy.com/yiyuan-bjsqhncyy.htm,http://z.xywy.com/yiyuan-anzhen.htm,http://z.xywy.com/yiyuan-bjtth.htm,http://z.xywy.com/yiyuan-zhengxing.htm,http://z.xywy.com/yiyuan-301hospital.htm,http://z.xywy.com/yiyuan-bjjmjtzyy.htm,http://z.xywy.com/yiyuan-bjfsyy.htm,http://z.xywy.com/yiyuan-luhehospital.htm,http://z.xywy.com/yiyuan-syhos.htm,http://z.xywy.com/yiyuan-beijingdaxueguojiyiyuan.htm,http://z.xywy.com/yiyuan-trhos1.htm,http://z.xywy.com/yiyuan-pgyy.htm,http://z.xywy.com/yiyuan-bjshrqzyyy.htm,http://z.xywy.com/yiyuan-miyunyiyuan.htm,http://z.xywy.com/yiyuan-bjyqxyy.htm
(三甲 综合 医保),(三甲 综合 医保),(一甲 综合 医保),(二乙 综合 医保),(三甲 综合 医保),(三甲 综合 医保),(三甲 整形 ),(三甲 综合 医保),(三级 综合 医保),(二甲 综合 医保),(三级 综合 医保),(二甲 综合 医保),(三级 综合 医保),(三甲 综合 医保),(二甲 综合 医保),(二甲 中医 医保),(二甲 综合 医保),(二甲 综合 医保)
北京同仁医院,北京大学人民医院,北京国龙中医医院,,中日友好医院,302医院,朝阳医院京西院区,北京大学第三医院,门头沟区医院,房山中医院,北京胸科医院,顺义中医院,回龙观医院,大兴中医院,平谷中医院,怀柔第一医院,北京密云县中医院,延庆县中医院
http://z.xywy.com/yiyuan-trhos.htm,http://z.xywy.com/yiyuan-pkuph.htm,http://z.xywy.com/yiyuan-chongwenquhongshizihuiguolongyiyuan.htm,,http://z.xywy.com/yiyuan-zryhyy.htm,http://z.xywy.com/yiyuan-302hospital.htm,http://z.xywy.com/yiyuan-bjcyh1.htm,http://z.xywy.com/yiyuan-bysy.htm,http://z.xywy.com/yiyuan-bjsmtgqyy.htm,http://z.xywy.com/yiyuan-fszyy6.htm,http://z.xywy.com/yiyuan-bjxkyy.htm,http://z.xywy.com/yiyuan-bjsyzy.htm,http://z.xywy.com/yiyuan-bhlgh.htm,http://z.xywy.com/yiyuan-zgzykxygamyynq.htm,http://z.xywy.com/yiyuan-pgqzyy.htm,http://z.xywy.com/yiyuan-hrdyyy.htm,http://z.xywy.com/yiyuan-bjmyzy.htm,http://z.xywy.com/yiyuan-yqxzyy.htm
(三甲 综合 医保),(三甲 综合 医保),( 中医 ),,(三甲 综合 医保),(三甲 传染 医保),(三甲 综合 医保),(三甲 综合 医保),(二甲 综合 医保),(三甲 中医 医保),(三甲 胸科 医保),(二甲 中医 医保),(三甲 精神 医保),(三甲 中医 医保),(三甲 中医 医保),(二甲 综合 医保),(二甲 中医 医保),(二级 综合 医保)
北京医院,阜外医院,,,朝阳医院,佑安医院,北京大学首钢医院,北大口腔医院,门头沟区中医医院,良乡医院,通州中医院,顺义区空港医院,北京清华长庚医院,北京市仁和医院,,怀柔妇幼保健院,密云县妇幼保健院,北京大学第三医院延
http://z.xywy.com/yiyuan-bjhmoh.htm,http://z.xywy.com/yiyuan-fuwaihospital.htm,,,http://z.xywy.com/yiyuan-bjcyh.htm,http://z.xywy.com/yiyuan-bjyah.htm,http://z.xywy.com/yiyuan-bjdxsgyy.htm,http://z.xywy.com/yiyuan-bjmu.htm,http://z.xywy.com/yiyuan-mtgzyy.htm,http://z.xywy.com/yiyuan-bjsfsqlxyy.htm,http://z.xywy.com/yiyuan-bjstjzzyyy.htm,http://z.xywy.com/yiyuan-bjkgyy.htm,http://z.xywy.com/yiyuan-bjqhcgyy.htm,http://z.xywy.com/yiyuan-beijingshirenheyiyuan.htm,,http://z.xywy.com/yiyuan-bjhr.htm,http://z.xywy.com/yiyuan-myxfybjy.htm,http://z.xywy.com/yiyuan-h31393.htm
(三甲 综合 医保),(三甲 心血 医保),,,(三甲 综合 医保),(三甲 传染 医保),(三级 综合 医保),(三甲 口腔 医保),(二甲 综合 医保),(二甲 综合 医保),(三甲 中医 医保),(二级 综合 医保),(三级 综合 医保),(二甲 综合 医保),,(二甲 妇幼 医保),(二甲 妇幼 ),(二甲 综合 )
东直门医院,宣武医院,,,医科院肿瘤医院,东方中医院,中医科学院眼科医院,海军总医院,,北京四零一医院,263医院,顺义区妇幼保健院,北京市昌平区华一医,大兴人民医院,,,,
